Título,Categoria,Fonte
EUA emitem alerta para norte-americanos que vão passar o Carnaval no Brasil,Nacional,CNN Brasil
"Aline Patriarca, do BBB 25, é exonerada da Polícia Militar",Entretenimento,CNN Brasil
Crime em família em SC: “Na minha mãe não era nem para ter colocado a mão”,Nacional,CNN Brasil
Israel critica condição “chocante” de reféns do Hamas; veja antes e depois,Internacional,CNN Brasil
SP: São 7 feridos em queda de avião; veja reação das pessoas em ônibus,Nacional,CNN Brasil
Trump muda de posição e diz ter desistido de tarifas universais,Internacional,CNN Brasil
Critics Choice Awards 2025: “Emilia Pérez” vence “Ainda Estou Aqui”,Entretenimento,CNN Brasil
Áudio revela que piloto pediu “retorno imediato” antes de queda em SP,Nacional,CNN Brasil
SBT desiste de Rodrigo Bocardi por gravidade de denúncias contra jornalista,Entretenimento,CNN Brasil
Crime em família: encontro secreto no matagal planejou mortes por herança,Nacional,CNN Brasil
Duas pessoas morrem em queda de avião em São Paulo,Geral,Agência Brasil
Segunda aeronave com brasileiros deportados dos EUA chega hoje,Geral,Agência Brasil
Brasil enfrenta a Colômbia mirando vaga para o Mundial Sub-20,Esportes,Agência Brasil
Caixa Tem passa a ser desbloqueado pelo WhatsApp,Economia,Agência Brasil
10 crianças passam a noite ilhadas em ônibus durante enchente no PR,Paraná,G1
Justiça manda governador do Pará apagar vídeo com informação falsa,Pará,G1
Pacientes cegos após mutirão de catarata podem ter quadro irreversível,Ribeirão Preto e Franca,G1
"Esquema de deputados do PL envolvia até ameaça com armas, diz PF",Blog da Camila Bomfim,G1
Lula vai começar troca de ministros antes do Carnaval; veja nomes,Política,G1
Fluminense x Flamengo,campeonato carioca,G1
115 torcedores de Fortaleza e Ceará são presos por briga generalizada,Ceará,G1
